1|3|2|SELECT COD_FUNCAO, NOME_FUNCAO FROM (DETALHAMENTO_FUNCAO NATURAL JOIN FUNCAO) WHERE COD_SUBFUNCAO = (SELECT COD_SUBFUNCAO FROM DETALHAMENTO_FUNCAO GROUP BY COD_SUBFUNCAO ORDER BY COUNT(COD_FUNCAO) DESC LIMIT 1);
4|153|5|SELECT MES_DESPESA, ANO_DESPESA, MODALIDADE_DESPESA, NOME_PROGRAMA_GOVERNO, VALOR_DESPESA FROM (DESPESA_PUBLICA NATURAL JOIN PROGRAMA_GOVERNO) WHERE COD_DESPESA IN (SELECT COD_DESPESA FROM (DESPESA_PUBLICA NATURAL JOIN ORGAO) WHERE NOME_ORGAO = 'Ministério da Educação' AND ANO_DESPESA = 2018 AND MES_DESPESA <= 6);
5|5|2|SELECT COD_ORGAO, NOME_ORGAO FROM (ORGAO NATURAL JOIN DESPESA_PUBLICA NATURAL JOIN DETALHAMENTO_FUNCAO NATURAL JOIN FUNCAO) WHERE (NOME_FUNCAO = 'Educação' OR NOME_FUNCAO = 'Saúde') AND ANO_DESPESA = 2018 GROUP BY COD_ORGAO ORDER BY SUM(VALOR_DESPESA) DESC LIMIT 5;
6|35|3|SELECT NOME_FUNCAO, NOME_SUBFUNCAO, SUM(VALOR_DESPESA) AS DESPESA_TOTAL FROM (DESPESA_PUBLICA NATURAL JOIN DETALHAMENTO_FUNCAO NATURAL JOIN FUNCAO NATURAL JOIN SUBFUNCAO) WHERE ANO_DESPESA = 2018 AND MES_DESPESA >= 8 GROUP BY NOME_FUNCAO, NOME_SUBFUNCAO ORDER BY SUM(VALOR_DESPESA) DESC;
7|7|2|SELECT NOME_PROGRAMA_GOVERNO, COUNT(DISTINCT COD_ORGAO) AS QTDE_ORGAOS FROM (PROGRAMA_GOVERNO NATURAL JOIN DESPESA_PUBLICA) WHERE VALOR_DESPESA > 0 GROUP BY COD_PROGRAMA_GOVERNO;
8|8|4|SELECT NOME_ORGAO, NOME_SUBFUNCAO, COUNT (VALOR_DESPESA) AS QTDE_DESPESAS, SUM(VALOR_DESPESA) AS TOTAL_DESPESAS FROM (SUBFUNCAO NATURAL JOIN DETALHAMENTO_FUNCAO NATURAL JOIN DESPESA_PUBLICA NATURAL JOIN ORGAO) GROUP BY NOME_ORGAO, NOME_SUBFUNCAO HAVING SUM(VALOR_DESPESA) > 10000;
12|37|2|SELECT DISTINCT NOME_FUNCAO, VALOR_DESPESA FROM (FUNCAO NATURAL JOIN DETALHAMENTO_FUNCAO NATURAL JOIN DESPESA_PUBLICA);
13|32|3|SELECT  DISTINCT MODALIDADE_DESPESA, VALOR_DESPESA, NOME_ORGAO FROM (ORGAO NATURAL JOIN (SELECT * FROM DESPESA_PUBLICA WHERE MODALIDADE_DESPESA = 'Reserva de Contingência'));
14|3|2|SELECT DISTINCT VALOR_DESPESA, NOME_PROGRAMA_GOVERNO FROM (DESPESA_PUBLICA NATURAL JOIN (SELECT * FROM PROGRAMA_GOVERNO WHERE NOME_PROGRAMA_GOVERNO = 'ENEM'));
15|26|3|SELECT DISTINCT NOME_PROGRAMA_GOVERNO, QTD_ORGAOS_SUBORDINADOS, VALOR_DESPESA FROM (DESPESA_PUBLICA NATURAL JOIN (SELECT * FROM ORGAO WHERE NOME_ORGAO = 'Ministério da Educação') NATURAL JOIN PROGRAMA_GOVERNO);
